fecha,mes,semana,dia_semana,hora,child,hombre,mujer,peatones,bicycle,motorcycle,car,pickup,van,truck,autos,bus,avg_vel_child,avg_vel_hombre,avg_vel_mujer,avg_vel_peatones,avg_vel_bicycle,avg_vel_motorcycle,avg_vel_car,avg_vel_pickup,avg_vel_van,avg_vel_truck,avg_vel_autos,avg_vel_bus
2021-08-09,August,32,Monday,5,0,22,4,26,4,4,58,2,2,2,64,18,0,8,5,4,20,35,43,25,55,95,54,48
2021-08-09,August,32,Monday,6,0,65,30,95,5,26,421,18,2,4,445,22,0,8,5,4,29,38,63,61,35,45,51,52
2021-08-09,August,32,Monday,7,3,128,16,147,38,19,1289,71,5,23,1388,50,8,7,11,8,28,43,70,66,69,55,65,58
2021-08-09,August,32,Monday,8,0,59,33,92,33,17,1406,150,11,24,1591,46,0,6,5,3,31,49,71,64,59,51,61,51
2021-08-09,August,32,Monday,9,3,29,8,40,12,23,1276,141,20,31,1468,41,8,5,5,6,36,56,73,65,67,51,64,57
2021-08-09,August,32,Monday,10,0,9,15,24,7,21,948,118,19,32,1117,29,0,6,6,4,20,44,71,64,68,61,66,60
2021-08-09,August,32,Monday,11,2,19,9,30,8,9,934,108,24,31,1097,20,15,8,6,9,30,46,72,62,67,58,64,62
2021-08-09,August,32,Monday,12,0,20,19,39,27,43,2084,191,55,76,2406,41,0,5,5,3,28,65,70,66,65,59,65,56
2021-08-09,August,32,Monday,13,0,67,13,80,7,74,2517,220,58,74,2869,40,0,6,5,3,19,45,71,68,66,62,66,63
2021-08-09,August,32,Monday,14,1,17,8,26,5,98,2875,213,62,74,3224,38,15,7,5,9,21,44,73,67,62,57,64,59
2021-08-09,August,32,Monday,15,0,49,20,69,2,110,2785,209,72,59,3125,58,0,5,8,4,15,48,69,62,64,53,62,55
2021-08-09,August,32,Monday,16,5,106,42,153,13,96,3780,320,78,96,4274,75,5,8,7,6,25,56,69,61,57,49,59,57
2021-08-09,August,32,Monday,17,0,107,33,140,19,105,4156,324,147,106,4733,96,0,7,8,5,31,43,69,62,64,57,63,53
2021-08-09,August,32,Monday,18,0,68,36,104,56,136,4835,240,55,40,5170,107,0,8,5,4,33,41,65,60,63,57,61,54
2021-08-09,August,32,Monday,19,0,122,62,184,80,86,4166,268,69,51,4554,54,0,7,6,4,41,54,61,60,58,42,55,54
2021-08-09,August,32,Monday,20,5,160,94,259,16,141,3348,143,12,36,3539,72,5,7,5,5,34,44,65,60,65,50,60,56
2021-08-09,August,32,Monday,21,4,94,82,180,5,41,2067,65,7,10,2149,53,5,7,5,5,43,43,61,59,65,46,57,49
2021-08-09,August,32,Monday,22,8,104,63,175,10,25,1299,47,11,2,1359,41,7,6,5,6,33,43,63,59,57,60,59,47
2021-08-09,August,32,Monday,23,0,0,0,0,0,1,64,0,0,0,64,6,0,0,0,0,0,55,63,0,0,0,15,50
2021-08-10,August,32,Tuesday,5,0,24,4,28,4,10,74,8,2,0,84,12,0,11,15,8,20,33,43,52,45,0,35,50
2021-08-10,August,32,Tuesday,6,0,73,18,91,36,31,448,14,2,7,471,30,0,11,8,6,29,37,58,49,35,55,49,53
2021-08-10,August,32,Tuesday,7,5,223,28,256,137,32,1110,84,15,24,1233,64,5,9,7,7,28,45,68,63,53,54,59,54
2021-08-10,August,32,Tuesday,8,1,111,57,169,60,52,2152,243,43,67,2505,83,15,7,7,9,32,49,73,67,67,57,66,55
2021-08-10,August,32,Tuesday,9,6,31,19,56,24,56,2292,301,42,77,2712,63,5,5,5,5,32,47,71,65,65,58,64,60
2021-08-10,August,32,Tuesday,10,0,40,24,64,22,57,1648,211,26,85,1970,49,0,7,7,4,36,44,69,63,65,55,63,60
2021-08-10,August,32,Tuesday,11,2,19,15,36,1,22,916,156,17,52,1141,21,10,7,5,7,35,41,69,59,62,53,60,59
2021-08-10,August,32,Tuesday,12,0,100,22,122,9,62,1976,248,62,99,2385,43,0,6,5,3,23,49,67,59,56,56,59,55
2021-08-10,August,32,Tuesday,13,0,54,4,58,4,88,2621,267,82,79,3049,46,0,6,5,3,25,41,68,62,60,62,63,64
2021-08-10,August,32,Tuesday,14,0,28,6,34,6,108,2388,199,46,95,2728,44,0,5,5,3,38,45,70,62,58,53,60,60
