dia,mes,semana_ano,dia_semana,hora,peatones,avg_vel_peatones,child,avg_vel_child,woman,avg_vel_woman,man,avg_vel_man,bicycle,avg_vel_bicycle,motorcycle,avg_vel_motorcycle,autos,avg_vel_autos,car,avg_vel_car,pickup truck,avg_vel_pickup truck,van,avg_vel_van,truck,avg_vel_truck,bus,avg_vel_bus,0_10_child,0_10_woman,0_10_man,0_10_bicycle,0_10_motorcycle,0_10_car,0_10_pickup,0_10_van,0_10_truck,0_10_bus,10_20_child,10_20_woman,10_20_man,10_20_bicycle,10_20_motorcycle,10_20_car,10_20_pickup,10_20_van,10_20_truck,10_20_bus,20_30_child,20_30_woman,20_30_man,20_30_bicycle,20_30_motorcycle,20_30_car,20_30_pickup,20_30_van,20_30_truck,20_30_bus,30_40_child,30_40_woman,30_40_man,30_40_bicycle,30_40_motorcycle,30_40_car,30_40_pickup,30_40_van,30_40_truck,30_40_bus,40_50_child,40_50_woman,40_50_man,40_50_bicycle,40_50_motorcycle,40_50_car,40_50_pickup,40_50_van,40_50_truck,40_50_bus,50_60_child,50_60_woman,50_60_man,50_60_bicycle,50_60_motorcycle,50_60_car,50_60_pickup,50_60_van,50_60_truck,50_60_bus,60_70_child,60_70_woman,60_70_man,60_70_bicycle,60_70_motorcycle,60_70_car,60_70_pickup,60_70_van,60_70_truck,60_70_bus,70_80_child,70_80_woman,70_80_man,70_80_bicycle,70_80_motorcycle,70_80_car,70_80_pickup,70_80_van,70_80_truck,70_80_bus,80_90_child,80_90_woman,80_90_man,80_90_bicycle,80_90_motorcycle,80_90_car,80_90_pickup,80_90_van,80_90_truck,80_90_bus,90_100_child,90_100_woman,90_100_man,90_100_bicycle,90_100_motorcycle,90_100_car,90_100_pickup,90_100_van,90_100_truck,90_100_bus,100_110_child,100_110_woman,100_110_man,100_110_bicycle,100_110_motorcycle,100_110_car,100_110_pickup,100_110_van,100_110_truck,100_110_bus,110_120_child,110_120_woman,110_120_man,110_120_bicycle,110_120_motorcycle,110_120_car,110_120_pickup,110_120_van,110_120_truck,110_120_bus,120_130_child,120_130_woman,120_130_man,120_130_bicycle,120_130_motorcycle,120_130_car,120_130_pickup,120_130_van,120_130_truck,120_130_bus,130_140_child,130_140_woman,130_140_man,130_140_bicycle,130_140_motorcycle,130_140_car,130_140_pickup,130_140_van,130_140_truck,130_140_bus,140_150_child,140_150_woman,140_150_man,140_150_bicycle,140_150_motorcycle,140_150_car,140_150_pickup,140_150_van,140_150_truck,140_150_bus,150_160_child,150_160_woman,150_160_man,150_160_bicycle,150_160_motorcycle,150_160_car,150_160_pickup,150_160_van,150_160_truck,150_160_bus,160_170_child,160_170_woman,160_170_man,160_170_bicycle,160_170_motorcycle,160_170_car,160_170_pickup,160_170_van,160_170_truck,160_170_bus,170_180_child,170_180_woman,170_180_man,170_180_bicycle,170_180_motorcycle,170_180_car,170_180_pickup,170_180_van,170_180_truck,170_180_bus
27/07/2021,Julio,31,Tuesday,5,14,4,0,0,2,5,12,7,6,35,4,50,93,18,89,47,4,45,0,0,0,0,22,49,0,2,10,0,0,2,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,8,2,0,0,2,0,0,0,0,2,8,0,0,0,10,0,0,0,0,2,20,2,0,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,6,126,6,0,0,24,8,102,10,27,34,20,49,344,42,300,64,30,65,8,43,6,38,28,51,0,20,80,0,0,0,0,0,0,0,0,2,4,2,0,4,0,0,0,0,0,0,12,1,2,13,0,0,0,0,0,2,6,21,5,11,2,4,4,2,0,0,0,3,6,17,6,2,2,14,0,0,0,0,2,60,3,2,0,6,0,0,0,0,1,87,3,0,0,4,0,0,0,0,4,73,12,0,0,2,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,7,219,8,3,8,32,7,184,9,89,31,25,49,1119,55,1002,73,80,69,10,75,27,56,82,56,2,27,130,0,0,2,0,0,1,1,1,5,44,4,0,1,0,0,6,3,0,0,5,38,1,18,1,0,0,7,0,0,5,39,3,15,3,0,1,4,0,0,0,8,10,31,2,0,3,7,0,0,0,0,7,108,15,0,0,22,0,0,0,0,4,209,17,4,6,21,0,0,0,0,0,276,22,2,4,11,0,0,0,0,0,212,16,4,2,6,0,0,0,0,0,95,3,0,2,0,0,0,0,0,0,28,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,8,123,7,1,5,23,7,99,9,76,33,25,58,1754,51,1518,70,172,66,29,64,35,54,62,56,1,19,72,2,0,4,1,0,0,0,0,4,19,4,0,9,4,1,3,0,0,0,4,11,0,35,5,1,2,4,0,0,4,47,0,13,2,2,1,5,0,0,0,11,8,72,15,2,8,4,0,0,0,1,6,188,28,5,6,26,0,0,0,0,6,342,40,4,8,16,0,0,0,0,5,470,41,7,5,6,0,0,0,0,0,276,24,7,1,1,0,0,0,0,0,92,11,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,9,34,4,0,0,4,8,30,6,7,34,17,50,1260,53,1094,70,108,65,20,70,38,59,34,56,0,3,28,1,0,1,0,0,0,0,0,1,2,0,0,7,2,0,0,1,0,0,0,1,1,25,1,0,1,2,0,0,0,2,4,17,2,0,2,1,0,0,0,3,3,23,10,0,8,0,0,0,0,0,4,124,14,3,9,15,0,0,0,0,5,299,39,8,8,13,0,0,0,0,0,346,26,6,9,2,0,0,0,0,0,188,12,2,1,0,0,0,0,0,0,56,1,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,10,32,4,0,0,4,5,28,7,7,29,13,57,1145,54,958,71,121,64,22,72,44,62,32,56,0,4,24,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,4,0,16,4,0,0,1,0,0,0,3,2,13,3,1,1,2,0,0,0,0,0,21,7,0,7,2,0,0,0,0,7,115,28,3,12,17,0,0,0,0,3,248,36,2,16,8,0,0,0,0,0,302,28,12,4,2,0,0,0,0,1,165,12,3,3,0,0,0,0,0,0,64,2,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,11,17,4,0,0,6,5,11,7,1,35,10,50,1013,54,852,74,110,68,17,73,34,56,19,58,0,6,9,0,0,0,1,0,0,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,10,1,0,5,2,0,0,0,0,4,24,6,0,3,3,0,0,0,0,2,81,20,3,11,3,0,0,0,0,3,160,32,4,9,9,0,0,0,0,0,262,26,5,5,2,0,0,0,0,0,178,15,3,0,0,0,0,0,0,0,83,4,2,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,13,32,4,0,0,3,5,29,7,2,35,42,60,1554,51,1310,70,168,63,38,63,38,56,24,60,0,3,23,0,0,3,0,0,0,0,0,0,6,0,2,7,4,0,2,0,0,0,0,0,2,19,10,1,0,0,0,0,0,2,0,24,3,1,0,0,0,0,0,0,4,57,14,2,8,1,0,0,0,0,11,185,35,9,11,10,0,0,0,0,13,325,33,14,13,12,0,0,0,0,3,347,47,8,4,1,0,0,0,0,7,222,19,3,0,0,0,0,0,0,0,87,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,14,46,5,0,0,8,8,38,6,1,65,89,53,2323,53,1976,77,213,69,64,67,70,55,42,62,0,6,33,0,0,0,0,2,2,0,0,2,5,0,2,8,4,0,0,0,0,0,0,0,2,32,6,1,0,0,0,0,0,0,6,37,6,1,8,0,0,0,0,0,27,29,6,4,16,4,0,0,0,0,28,113,24,9,18,12,0,0,0,1,18,347,56,16,19,20,0,0,0,0,4,555,59,21,4,4,0,0,0,0,2,500,37,5,0,2,0,0,0,0,0,261,15,5,3,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
