dia,mes,semana_ano,dia_semana,hora,peatones,peatones_vel,nino,nino_vel,mujer,mujer_vel,hombre,hombre_vel,bicicleta,bicicleta_vel,motocicleta,motocicleta_vel,autos,autos_vel,auto_particular,auto_particular_vel,pickup_truck,pickup_truck_vel,van,van_vel,truck,truck_vel,camion,camion_vel
27/07/2021,Julio,31,3,5,14,4,0,0,2,5,12,7,6,35,4,50,93,18,89,47,4,45,0,0,0,0,22,49
27/07/2021,Julio,31,3,6,126,6,0,0,24,8,102,10,27,34,20,49,344,42,300,64,30,65,8,43,6,38,28,51
27/07/2021,Julio,31,3,7,219,8,3,8,32,7,184,9,89,31,25,49,1119,55,1002,73,80,69,10,75,27,56,82,56
27/07/2021,Julio,31,3,8,123,7,1,5,23,7,99,9,76,33,25,58,1754,51,1518,70,172,66,29,64,35,54,62,56
27/07/2021,Julio,31,3,9,34,4,0,0,4,8,30,6,7,34,17,50,1260,53,1094,70,108,65,20,70,38,59,34,56
27/07/2021,Julio,31,3,10,32,4,0,0,4,5,28,7,7,29,13,57,1145,54,958,71,121,64,22,72,44,62,32,56
27/07/2021,Julio,31,3,11,17,4,0,0,6,5,11,7,1,35,10,50,1013,54,852,74,110,68,17,73,34,56,19,58
27/07/2021,Julio,31,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,3,13,32,4,0,0,3,5,29,7,2,35,42,60,1554,51,1310,70,168,63,38,63,38,56,24,60
27/07/2021,Julio,31,3,14,46,5,0,0,8,8,38,6,1,65,89,53,2323,53,1976,77,213,69,64,67,70,55,42,62
27/07/2021,Julio,31,3,15,41,4,0,0,14,6,27,7,0,0,72,56,2346,50,1988,70,214,65,61,61,83,55,48,59
27/07/2021,Julio,31,3,16,85,7,1,5,38,8,46,7,7,32,74,59,2582,54,2282,74,184,69,73,72,43,55,48,55
27/07/2021,Julio,31,3,17,85,9,1,15,19,6,65,7,21,23,55,47,2921,52,2597,75,219,69,76,66,29,49,46,61
27/07/2021,Julio,31,3,18,182,6,1,5,43,6,138,6,14,33,78,47,3171,56,2837,74,264,68,48,71,22,67,65,60
27/07/2021,Julio,31,3,19,156,6,8,5,41,5,107,7,38,32,90,56,2670,49,2454,73,176,66,25,67,15,40,73,55
27/07/2021,Julio,31,3,20,209,6,5,5,98,6,106,8,22,30,111,48,2029,48,1890,70,102,65,12,55,25,51,49,52
27/07/2021,Julio,31,3,21,156,6,8,6,46,5,102,7,6,42,34,46,1394,49,1321,63,56,65,7,58,10,57,36,56
27/07/2021,Julio,31,3,22,101,6,2,5,23,5,76,6,6,22,20,41,905,45,860,63,37,63,5,67,3,32,33,50
27/07/2021,Julio,31,3,23,12,3,0,0,8,5,4,5,0,0,2,45,54,24,53,63,0,0,1,55,0,0,0,0
28/07/2021,Julio,31,4,5,24,5,0,0,2,5,22,11,2,25,4,40,96,19,88,47,8,50,0,0,0,0,16,45
28/07/2021,Julio,31,4,6,94,8,0,0,24,12,70,13,24,33,18,41,366,41,325,60,29,57,4,35,8,50,31,49
28/07/2021,Julio,31,4,7,280,5,0,0,40,7,240,8,123,31,10,49,898,50,787,72,68,66,16,57,27,55,69,53
28/07/2021,Julio,31,4,8,142,6,2,5,39,6,101,7,66,32,43,52,2004,54,1693,75,241,67,24,71,46,58,76,56
28/07/2021,Julio,31,4,9,81,5,0,0,34,7,47,7,26,38,40,48,2504,56,2140,78,261,72,38,72,65,60,69,59
28/07/2021,Julio,31,4,10,38,4,0,0,2,5,36,7,36,34,46,48,2229,53,1882,74,247,67,53,66,47,59,55,63
